"",,,MONDAY,,
ROOM,7.00 AM→9.00 AM,9.00 AM→11.00AM,11.00 AM→1.00 PM 1.00 PM→3.00 PM,3.00PM→5.00PM,5.00PM→7.00PM
SGT1,MATH 242(A),MATH 303(B),MATH 242(F) COMS 101(B),MATH 343,MATH 121(B)
S104,NURS 364,NURS 365,NURU 262 NURS 435,NURS 441,HNDS 0194
S105,HNDS 0101,HNDS 0111,HNDS 213 HNDS 224,HNDS 492,HNDS 494
S203,PUHE 115,HRIM 123,HNDS 426 PUHE 116,NURU 273,NURU 229
S204,PUHE 253,PUHE 262,HNDS 483 HRIM 231,NURU 262,NURU 191
S207,NURS 117,NURS 118,NURS 133 NURS 152,NURS 152,NURS 117
S302,NURS 283,NURS 284,NURU 275 NURS 261,NURU 241,PHIL 109
S303,MATH 242(B),EPSC 121(A),EDCI 321(A),MATH 203,EDCI 331
S304,EENG 292,EENG 251,EENG 353 EENG 222,EENG 363,EENG 362
S306,BOTA 111(B),CHEM 345,PHYS 315 ZOOL 412,,ZOOL 492
S402,EAPE 421 (A),ZOOL 230/233,MATH 421 CHEM 439,BOTA 415,CHEM 437
S403,MATH 242(C),EPSC 121(C),EDCI 321(B) MATH 121(C),MATH 341(A),BOTA 111(A)
S404,COSC 0170,MATH 143,BIOC 204 MATH 445,GPHY 251,GPHY 224
S408,PHYS 443,MATH 347,ACMT 412,PHYS 314,PHYS 418,EHYS 213
S502,EAPE 421 (B),CHEM 130 (C),CHEM 212(B),CHIN 436,CHIN 346,MATH 444
S503,MATH 242(D),EPSC 121(D),EDCI 321(C),MATH 303(A),LITT 222,MATH 341(B)
S504,ENGL 221,MATH 242(E),CHEM 130 (A),BOTA 121(B),CHEM 212(A),
S508,BIOC 351,BMET 316,CHIN 313,CHEM 405,BMET 336,BIOC 360
S602,BOTA 233,BOTA 121(A),BMET 462,BOTA 251,COSC 0140,BOTA 271
L1,DIBM 0132,DPLM 0222,LAPA 0231,LAPA 0131,LAPA 0204,DIBM 0229
L2,,ECDE 124,ECDE 132,ECDE 337,BIOC 418,MSCF 841
L3,,,,,,
L4,,,,,MPLM 811,COSC 811
FTC 301,RELI 104,BCOM 101,BCOM 302,ECON 111,,
FTC 302,EDCI 344,AGED 332,ENSC 212,ANSC 313,NARE 331,
FTC 303,,MATH 121(D),CDEV 254,,,
FTC 501,COSC 0172,DTHM 0112,AGRI 482,COSC 0130,GPHY 242,
FTC 502,BLIS 404,BRMT 414,CRSS 102,BSIS 457,,
SRP B 01,ECON 222,ZOOL 143(A),HIST 141,COSC 103,ZOOL 143(B),LITT 221
MSH5,CRSS 410,GOVT 151,RELI 103,CRSS 400,SOCI 102,SOCI 342
MSH6,BSIS 103,BSIS 102,CRSS 445,MICB 131,BSIS 131,DIBM 0112
MSH7,BCOM 314,NARE 444,NARE 445,BCHM 212,AFRE 244,ENSC 813
MSH8,BPLM 313,AGRO 271,BCOM 321,ANSC 231,DHRM 0101,MIHM 891
MSH9,BECO 321,DTHM 0111,NARE 331,,MATH 171,MTOM 831
MSH10,ECDE 445,BCHM 232,BCOM 464,ECDE 0121,,ECDE 0143
BSR001,BCOM 103,ECON 100 (A),BCOM 112(A),BCOM 409,COSC 103,ZOOL 143(D)
BSR201,BCHM 472,BECO 251,BCHM 473,BCOM 353,BCHM 332,MSEC 801
