ROOM,8.30 AM→10.30 AM,11.30 AM→1.30PM,2.30 PM→4.30 PM
SGT1,PHYS 241,ZOOL 321,COSC 211
S104,"HRIM 151, PUHU 134",,HRIM 361
S105,"NURU 334, NURU 283, PUHE 881,",,"NURU 351, NURU 276, NUPM 801, PUHE 811"
S203,"HNDS 211, HNDS 331, HNDS 0231",HRIM 243,"PUHE 447, PUHU 132"
S204,COMM 420,HRIM 487,COMM 480
S207,NURS 253,PUHE 342,NURS 221
S302,PHYS 241,ZOOL 321,CHEM 417
S303,PHYS 241,COSC 325,CHEM 417
S304,"ANHE 111,",MATH 411,EENG 424
S306,COMM 230,GEOG 346,COMM 272
S402,,CDEV 211,COMM 380
S403,EDCI 311,ACSC 434,EDFO 211
S404,CDEV 435,GEOG 446,CDEV 411
S408,LITT 416,BEEM 216,
S502,,"EENG 215, EPHY 316",EDFO 211
S503,EDCI 311,AGED 434,EDFO 211
S504,EDCI 311,SOCI 372,EDFO 211
S508,"AGEC 422,",,"ANHE 423, ANPT 434"
S602,SOCI 211,BMET 212,EDFO 211
L1,"ECDE 121, ECDE 231, ECDE 411",BMET 417,"ECDE 233, ECDE 123, ECDE 431"
"",ECDE 0111,,ECDE 0134
L2,ECDE 311,,ECDE 331
L3,"CDEV 0207, PPMA 226, PPMA 110",EENG 425,"CDEV 0208, PPMA 265"
"",PPMA 0110,,
L4,BOTA 331,"COSC 0243, COSC 0242, COSC 0172,",BOTA 330
"",,PHYS 00111,
FTC 301,PSYC 301,"CRSS 100, CDEV 0212","PSYC 411, PSYC 311"
FTC 302,CDEV 320,ENGL 101,"BTOM 381, BTOM 472"
FTC 303,CDEV 110,ENGL 101,
FTC 304,,,AGEC 414
FTC 403,,BCOM 355,RELI 391
FTC 404,"LAPA 0231, LAPA 0100, BOTA 0253","BOTA 934, ZOOL 891","LAPA 0204, INRE 242"
FTC 502,"PHIL 253, PHIL 317",PSYC 211,PHIL 342
FTC 504,"CRSS 0220, ECDE 0211","MATH 801,",CRSS 0221
FTC 602A,SOCI 322,"CRSS 430, CRSS 420, CRSS 440",CDEV 0102
